,0,1,2
0,2018-08-08T21:16:26,0.4444444444444444,0.954954954954955
1,2018-08-08T22:16:26,0.42857142857142855,0.926829268292683
2,2018-08-08T23:16:26,0.6153846153846153,0.9498327759197325
3,2018-08-09T00:16:26,0.39999999999999997,0.9385665529010239
4,2018-08-09T01:16:26,0.4666666666666667,0.9424460431654677
5,2018-08-09T02:16:26,0.3333333333333333,0.9300699300699301
6,2018-08-09T03:16:26,0.4897959183673469,0.9107142857142857
7,2018-08-09T04:16:26,0.4,0.9204545454545454
8,2018-08-09T05:16:26,0.0,0.9775784753363229
9,2018-08-09T06:16:26,0.5454545454545454,0.949238578680203
10,2018-08-09T07:16:26,0.4,0.9840425531914894
11,2018-08-09T08:16:26,0.0,0.9657142857142857
12,2018-08-09T09:16:26,0.25,0.9622641509433962
13,2018-08-09T10:16:26,0.18181818181818182,0.9482758620689655
14,2018-08-09T11:16:26,0.25,0.9411764705882353
15,2018-08-09T12:16:26,0.5128205128205129,0.9205020920502092
16,2018-08-09T13:16:26,0.2777777777777778,0.9094076655052264
17,2018-08-09T14:16:26,0.5079365079365079,0.906060606060606
18,2018-08-09T15:16:26,0.6956521739130435,0.9291139240506329
19,2018-08-09T16:16:26,0.6666666666666666,0.9303482587064676
20,2018-08-09T17:16:26,0.5915492957746479,0.9232804232804233
21,2018-08-09T18:16:26,0.674698795180723,0.9272237196765498
22,2018-08-09T19:16:26,0.45454545454545453,0.8962536023054755
23,2018-08-09T20:16:26,0.6153846153846153,0.9277456647398844
24,2018-08-09T21:16:26,0.6451612903225806,0.9046242774566474
25,2018-08-09T22:16:26,0.3928571428571429,0.8957055214723927
26,2018-08-09T23:16:26,0.4905660377358491,0.9117647058823529
27,2018-08-10T00:16:26,0.3902439024390244,0.9177631578947368
28,2018-08-10T01:16:26,0.2702702702702703,0.912621359223301
29,2018-08-10T02:16:26,0.2777777777777778,0.9133333333333333
30,2018-08-10T03:16:26,0.30303030303030304,0.9285714285714286
31,2018-08-10T04:16:26,0.3571428571428571,0.9310344827586207
32,2018-08-10T05:16:26,0.2,0.9316239316239316
33,2018-08-10T06:16:26,0.18181818181818182,0.9547738693467337
34,2018-08-10T07:16:26,0.8,0.9846938775510204
35,2018-08-10T08:16:26,0.5,0.9653179190751445
36,2018-08-10T09:16:26,0.25,0.9612903225806452
37,2018-08-10T10:16:26,0.4,0.9653179190751445
38,2018-08-10T11:16:26,0.6666666666666666,0.9789473684210527
39,2018-08-10T12:16:26,0.47058823529411764,0.926829268292683
40,2018-08-10T13:16:26,0.4444444444444444,0.8969072164948454
41,2018-08-10T14:16:26,0.6391752577319588,0.8967551622418879
42,2018-08-10T15:16:26,0.5894736842105264,0.8954423592493298
43,2018-08-10T16:16:26,0.6363636363636364,0.9574468085106383
44,2018-08-10T17:16:26,0.5797101449275363,0.9205479452054794
45,2018-08-10T18:16:26,0.65625,0.9365994236311239
46,2018-08-10T19:16:26,0.380952380952381,0.9263456090651558
47,2018-08-10T20:16:26,0.5777777777777778,0.9427710843373494
